,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,COMPREHENSIVE PHARMACEUTICAL PROCUREMENT CONTRACT MANAGEMENT FOLLOW UP SHEET,,,,,,,,,,,Performance Guarantee follow up & Status,,,,,,,,,,,,Bank and Insurance Team,,,,,Shipment Follow Up and Port Clearance Team,,,Remark,
S.N,Recevied date from TMD,Tender reference number,PO No,Supplier,Country of Origin,Local A.,Discription of the product,Unit,Qauntity,Unit Price,Total price,Total PO Amount,Currency,Budget Source,Mode of Shipment,PO Transferred to BIT/LT Date,PG Requested Date,PG received Date,PG Confirmed Date,Bank/Insurance Name,PG Reference ,PG Expiry Date,Remaining Days for PG Expiry,Submit PG,Status,Satus Date,PG Receiver name,BI Officer,LC Opening Status,LC Opened Date,LC Expiry Date,LC Age (Days),Shipment Officer,Shipment Status,Order Closure,,
,,,,,,,POVI Chemical - povidone lodine - 10% - - Solution of 500ml,BT,"29,572",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,COAB Cotton Absorbent Wool - 500mg,ROL,"29,572",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GLSU Glove Surgical Latex powder - Free Sterile - No.7.5 of 20 Pairs,PAC,"29,572",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"SYDI Syringe (Disposable) - (sterile) 3 parts, 5ml Luer fitting with 23G Needle of 20pcs",PAC,"29,572",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"ADWP Adhesive Wound Plaster - 19mm x 72mm, water proof pack of 20",PAC,"29,572",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SUSB Surgical Scalpel Blade-No 10 of 20,PAC,"29,572",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ADPL Adhesive Plaster Zinc Oxide-2.5cm x 5cm,EA,"29,572",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,LIDO Lidocaine HCL-1% in 20ml  vial-injection of 3,PAC,"29,572",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GAAC Gauze Absorbent Cotton-8cm x4m of 4,EA,"29,572",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
1428,6/5/2026,EPSA-ICB-G-0061-2017-BID,4500010288,Ida Foundation,Netherlands,Life care Pharmaceutical Trading,Etonogestrel 68mg Capsule (Subdermal Implant) with full insertion accessory kit of 20,PAC,"10,685",226.9,"2,424,426.50","2,424,426.50",USD,SDG-FH,Sea,6/9/2026,6/9/2026,,,,,,"-46,221",39,,,,Yordanos,,,,"46,221",,,,,
,,,,,,,POVI Chemical - povidone lodine - 10% - - Solution of 500ml,BT,"10,685",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,COAB Cotton Absorbent Wool - 500mg,ROL,"10,685",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GLSU Glove Surgical Latex powder - Free Sterile - No.7.5 of 20 Pairs,PAC,"10,685",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"SYDI Syringe (Disposable) - (sterile) 3 parts, 5ml Luer fitting with 23G Needle of 20pcs",PAC,"10,685",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"ADWP Adhesive Wound Plaster - 19mm x 72mm, water proof pack of 20",PAC,"10,685",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SUSB Surgical Scalpel Blade-No 10 of 20,PAC,"10,685",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ADPL Adhesive Plaster Zinc Oxide-2.5cm x 5cm,EA,"10,685",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,LIDO Lidocaine HCL-1% in 20ml  vial-injection of 3,PAC,"10,685",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GAAC Gauze Absorbent Cotton-8cm x4m of 4,EA,"10,685",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,6/8/2026,EPSA-ICB-G-0097-2018-BID,4500011316,"Beijing Beilu Pharmaceutical Co, ltd",China,BBF Trading PLC,Chemical gadolinium chelate 1mmol/ml solution for injection of 7.5ml,VI,"7,032",16.5,"116,028.00","116,028.00",USD,RDF,Sea,6/22/2026,7/6/2026,,,,,,"-46,221",12,,,,Dejene,,,,"46,221",,,,,
,6/8/2026,EPSA-ICB-G-0012-2017-BD,4500011646,The Say Pharma Drug store LLC,Utd Arab Emir,GEZ Chemicals and pharmaceuticals PLC,Enoxaparine 60 mg/0.6 ml injection,VI,"9,136",2.8,"25,580.80","25,580.80",USD,RDF,Sea,6/22/2026,7/6/2026,,,,,,"-46,221",12,,,,Dejene,,,,"46,221",,,,,
,6/8/2026,EPSA-ICB-G-0012-2018-BID,4500011622,Galentic Pharma,India,Medtech Ethiopia PLC,Tetracycline 3% skin ointment of 15 gm,TU,"200,988",0.195,"39,192.66","39,192.66",USD,RDF,Sea,6/22/2026,7/6/2026,,,,,,"-46,221",12,,,,Dejene,,,,"46,221",,,,,
,6/8/2026,ICB/EPSS6/RDF-R/PH/27/23,4500011619,Leben Laboratories Pvt.Ltd,India,DAT International Trading P.L.C, Hydrocortisone Acetate 1% Topical cream of 15gm,TU,"155,576",0.18,"28,003.68","28,003.68",USD,RDF,Sea,6/22/2026,7/6/2026,,,,,,"-46,221",12,,,,Dejene,,,,"46,221",,,,,
,6/8/2026,EPSA-ICB-G-0054-2018-BID,4500011617,Scott Edill Pharmacia LTD,India,Kare Pharmaceuticals PLC,Haloperidol 1.5mg tablet of 10x10,PAC,"34,080",0.45,"15,336.00","15,336.00",USD,RDF,Sea,6/22/2026,7/6/2026,,,,,,"-46,221",12,,,,Mahider,,,,"46,221",,,,,
,6/8/2026,EPSA-ICB-G-0012-2017-BID,4500011636,Medicamen Biotech Limited,India,Droga Pharma PLC,Rispiridone 2mg tablet of 10x10,PAC,"105,064",0.35,"36,772.40","36,772.40",USD,RDF,Sea,6/22/2026,,,,,,,"-46,221",,,,,Mahider,,,,"46,221",,,,,
,6/8/2026,EPSA-NCB-G-0079-2018-BID,4500010387,Afrovision pharmaceuticals,Ethiopia,Afrovision pharmaceuticals,chemical chlorhexidine gluconate + cetrmide 1.5% +15+ w/v solution of 1L,BT,"4,216",383.82,"1,618,185.12","1,618,185.12",ETB,SDG,Truck,6/8/2026,,4/25/2026,4/28/2026,Lucy Insurance S.C,Lucy/LCM/038127/26,4/24/2027,280,ENTER DATE,,,,,,,,"46,221",Yohannis,,,,
,6/8/2026,EPSA-NCB-G-0079-2018-BID,4500011726,Afrovision pharmaceuticals,Ethiopia,Afrovision pharmaceuticals,chemical chlorhexidine gluconate + cetrmide 1.5% +15+ w/v solution of 1L,BT,"9,524",383.82,"3,655,501.68","3,655,501.68",ETB,RDF,Truck,6/8/2026,,4/25/2026,4/28/2026,Lucy Insurance S.C,Lucy/LCM/038127/26,4/24/2027,280,ENTER DATE,,,,,,,,"46,221",Yohannis,,,,
,6/8/2026,EPSA-NCB-G-0079-2018-BID,4500011647,Pharmaget health care,Ethiopia,Pharmaget health care,chemical chlorhexidine gluconate + cetrmide 1.5% +15+ w/v solution of 1L,BT,"14,286",383.82,"5,483,252.52","5,483,252.52",ETB,RDF,Truck,6/11/2026,,6/9/2026,6/10/2026,Ethiopian Insurance COrporation,100002710651,5/18/2027,304,ENTER DATE,,,,,,,,"46,221",Yohannis,,,,
,6/8/2026,EPSA-NCB-G-0079-2018-BID,4500010386,Pharmaget health care,Ethiopia,Pharmaget health care,chemical chlorhexidine gluconate + cetrmide 1.5% +15+ w/v solution of 1L,BT,"6,324",383.82,"2,427,277.68","2,427,277.68",ETB,SDG-MH,Truck,6/11/2026,,6/9/2026,6/10/2026,Ethiopian Insurance COrporation,100002710651,5/18/2027,304,ENTER DATE,,,,,,,,"46,221",Yohannis,,,,
,6/8/2026,EPSA-NCB-G-0079-2018-BID,4500010382,Pharmaget health care,Ethiopia,Pharmaget health care,Chemical ethanol 96% RL Solution of 1L,BT,"17,865",338,"6,038,370.00","6,038,370.00",ETB,MOH TB-TREASURE,Truck,6/11/2026,,6/9/2026,6/10/2026,Ethiopian Insurance COrporation,100002710651,5/18/2027,304,ENTER DATE,,,,,,,,"46,221",Yohannis,,,,
,6/9/2026,EPSA-NCB-G-0122-2018-BID,4500010936,Z Care pharma trading,Ethiopia,Z Care pharma trading,Plasma preparation tube (PPT) of 590 pices,PAC,"8,457",547,"4,625,979.00","4,984,110.00",ETB,GF-HIV,Truck,6/25/2026,,6/9/2026,6/9/2026,Zemen Insurance,ZI/LG/PRB/0005/04/2026,4/27/2027,283,ENTER DATE,,,,,,,,7/18/2026,Yohannis,,,,
,,,,,,,Centrifuge secondary tube 5ml 13x75mm of 500,PAD,183,1957,"358,131.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,6/9/2026,EPSA-NCB-G-0122-2018-BID,4500010937,Z Care pharma trading,Ethiopia,Z Care pharma trading,Plasma preparation tube (PPT) of 590 pices,PAC,"1,265",547,"691,955.00","18,659,813.00",ETB,MOH-HIV,Truck,6/12/2026,,6/9/2026,6/9/2026,Zemen Bank S.C,ZI/LG/PRB/0005/04/2026,4/27/2027,283,ENTER DATE,,,,,,,,"46,221",Yohannis,,,,
,,,,,,,Blood collection needle holder of 1000,PAC,"2,999",5727,"17,175,273.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Centrifuge secondary tube 5ml 13x75mm of 500,PAD,405,1957,"792,585.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,6/12/2026,EPSA-NCB-G-0025-2018-BID,4500010873,Sansheng Pharmaceuticals,Ethiopia,Sansheng Pharmaceuticals,azithromycine 500mg 10x3,PAC,"36,112",595,"21,486,640.00","21,486,640.00",ETB,GF-CBHIV,Truck,6/12/2026,,6/9/2026,6/10/2026,Nib Insurance S.Co,P/021/59/02/2026/06/00031,6/5/2027,322,ENTER DATE,,,,,,,,"46,221",Eyob,,,,
,6/12/2026,EPSA-NCB-G-0055-2017,4500011655,Sansheng Pharmaceuticals,Ethiopia,Sansheng Pharmaceuticals,metformine 500mg tablet of 10x10,PAC,"134,310",141,"18,937,710.00","18,937,710.00",ETB,RDF,Truck,6/12/2026,,6/9/2026,6/10/2026,Nib Insurance S.Co,P/021/59/02/2026/06/00032,6/5/2027,322,ENTER DATE,,,,,,,,"46,221",Eyob,,,,
,6/12/2026,EPSA-NCB-G-0025-2018-BID,4500011631,Sansheng Pharmaceuticals,Ethiopia,Sansheng Pharmaceuticals,ClarIithromycine 500mg tablet of 10x10,PAC,"7,918",2400,"19,003,200.00","19,003,200.00",ETB,RDF,Truck,6/12/2026,,6/9/2026,6/10/2026,Nib Insurance S.Co,P/021/59/02/2026/06/00034,6/5/2027,322,ENTER DATE,,,,,,,,"46,221",Eyob,,,,
,6/12/2026,EPSA-NCB-G-0021-2018-BID,4500011606,Sansheng Pharmaceuticals,Ethiopia,Sansheng Pharmaceuticals,Spironolactone 25mg tablet of 10x10,PAC,"85,890",317.1,"27,235,719.00","31,320,709.00",ETB,RDF,Truck,6/12/2026,,6/9/2026,6/10/2026,Nib Insurance S.Co,P/021/59/02/2026/06/00033,6/5/2027,322,ENTER DATE,,,,,,,,"46,221",Eyob,,,,
,,,,,,,Acyclovir 200mg capsule of 10x10,PAC,"12,194",335,"4,084,990.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,6/11/2026,EPSA-NCB-G-0054-2018-BID,4500011618,Sansheng Pharmaceuticals,Ethiopia,Sansheng Pharmaceuticals,ferrous sulfate 325mg tablet of 10x10,PAC,"93,834",210,"19,705,140.00","19,705,140.00",ETB,RDF,Truck,6/12/2026,,6/9/2026,6/10/2026,Nib Insurance S.Co,P/021/59/02/2026/06/00030,6/5/2027,322,ENTER DATE,,,,,,,,"46,221",Eyob,,,,
,6/15/2026,EPSA-NCB-G-0097-2018-BID,4500010491,Leyan Pharmceuticls importer ,Ethiopia,Leyan Pharmceuticls importer ,Glove gynecological examination (elbow glove)  medium,Pair,"41,281",9360,"386,390,160.00","399,269,800.80",ETB,MOH RMNCH-CMPT,Truck,6/17/2026,,6/12/2026,6/17/2026,Global Bank Ethiopia,GB/ST/1245/26,6/11/2027,328,ENTER DATE,,,,,,,,"46,221",Yohannis,,,,
,,,,,,,Glove gynecological examination (elbow glove)  Large,Pair,"137,603",93.6,"12,879,640.80",,,,,,,,,,,,,,,,,,,,,,,,,,
,6/15/2026,EPSA-ICB-G-0068-2018-BD,4500011986,United Pharma,Kenya,Life care Pharmaceutical trading,caffeine citrate 10mg/ml in 1 ml ampoule injection,EA,"7,800",2.5,"19,500.00","19,500.00",USD,MOF-OTH,Sea,,,,,,,,"-46,221",ENTER DATE,,,,,,,,"46,221",,,,,
,6/15/2026,EPSA-ICB-G-0097-2018-BD,4500010972,RISE GLOBAL GMBH,Germany,EMA Construction & Trading PLC,Spinal needle 8cm-25G with guider needle trochay,EA,"31,086",0.23,"7,149.78","7,149.78",USD,RDF,Sea,6/16/2026,6/17/2026,6/22/2026,6/23/2026,Berhan Bank,BrB/AtB/342/26,6/13/2027,330,5,,,,Selamawit,,,,"46,221",,,,,
,6/15/2026,EPSA-ICB-G-0097-2018-BD,4500011753,Avian International,India,PHARMAKON TRADING  PLC,calibrated drape,EA,"678,818",0.9,"610,936.20","610,936.20",USD,SDG-MH,Sea,6/16/2026,6/17/2026,,,,,,"-46,221",31,,,,Yordanos,,,,"46,221",,,,Budget from 4500010449,
,6/15/2026,EPSA-ICB-G-0097-2018-BD,4500010449,Avian International,India,PHARMAKON TRADING  PLC,calibrated drape,EA,"678,818",0.9,"610,936.20","610,936.20",USD,SDG-MH,Sea,6/16/2026,6/17/2026,,,,,,"-46,221",31,,,,Yordanos,,,,"46,221",,,,,
,6/15/2026,EPSA-ICB-G-0097-2018-BD,4500010448,Avian International,India,PHARMAKON TRADING  PLC,Oropharengial airway(guedel)sterile-90mm,EA,"3,380",0.1,338.00,"26,688.50",USD,MOH-RMNCH,Sea,6/16/2026,6/17/2026,,,,,,"-46,221",31,,,,Yordanos,,,,"46,221",,,,,
,,,,,,,Oropharengial airway(guedel)sterile-120mm,EA,"263,505",0.1,"26,350.50",,,,,,,,,,,,,,,,,,,,,,,,,,
,6/15/2026,EPSA-ICB-G-0057-2018-BID,4500010860,Reyoung Pharmaceuticals,China,Dat International PLC,"Penicillin G , Benzanthine 2.4MIU Injection in vial of 100",PAC,154,16.87,"2,597.98","2,597.98",USD,GF-HIV,Sea,6/16/2026,6/17/2026,,,,,,"-46,221",31,,,,Yordanos,,,,"46,221",,,,,
,6/16/2026,EPSA-NCB-G-0119-2018-BID,4500012043,Bahita Hailu G/yohanise / Lemamat Trading and Insustry ,Ethiopia,Bahita Hailu G/yohanise / Lemamat Trading and Insustry ,Glove examination latex non powderd medium of 100 pieces,PAC,"510,197",898,"458,156,906.00","458,156,906.00",ETB,RDF,Truck,6/17/2026,,6/16/2026,,Hibret Insurance,GU/07/7512/2026/00005,6/15/2027,332,ENTER DATE,,,,,,,,"46,221",Yohannis,,,,
,6/17/2026,EPSA-ICB-G-0038-2018-BID,4500012038,"Shenzhen lanmage medical techno co., ltd",Ethiopia,BWB Trading PLC,Ultrasound general purpose color doppler mobile 4D,EA,3,20299,"60,897.00","60,897.00",USD,RDF,Sea,6/25/2026,,7/6/2026,7/6/2026,Awash Bank,AA00048664,6/30/2027,347,ENTER DATE,,,,Gebresillassei,,,,"46,221",,,,,
,6/17/2026,EPSA-ICB-G-0012-2017-BID,4500011610,Ciron Drugs And Pharmaceuticals  Pvt Ltd.,India,Getmaz General Business PLC,Vancomycine 1 g ingection of vials,VI,"194,405",0.8,"155,524.00","155,524.00",USD,RDF,Sea,6/22/2026,7/6/2026,,,,,,"-46,221",12,,,,Dejene,,,,"46,221",,,,,
,6/17/2026,EPSA-ICB-G-0012-2017-BID,4500010391,REMEDICA LTD,Cyprus,REMEDICA LTD, Levodopa + Carbidpa - (250 mg + 25mg) - Tablet of 10x3,PAC,"73,782",2.3,"169,698.60","169,698.60",USD,RDF,Sea,6/17/2026,7/6/2026,,,,,,"-46,221",12,,,,,,,,"46,221",,,,,
,6/17/2026,EPSA-ICB-G-0012-2017-BID,4500011611,VHB Medi Sciences Limited,India,Droga pharma plc,Vancomycine - 1mg - Injection of Vial,VI,"291,607",0.8,"233,285.60","233,285.60",USD,RDF,Sea,6/22/2026,,,,,,,"-46,221",ENTER DATE,,,,Dejene,,,,"46,221",,,,,
,6/17/2026,EPSA-NCB-G-0122-2018-BID,4500010907,Haneva trading,Ethiopia,Haneva trading,head cover of 100/pack,PAC,13,320,"4,160.00","1,626,619.24",ETB,SDG-LAB,Truck,,,6/17/2026,6/17/2026,Awash Isuranc,AIC/AGA/PFBD/0841096/26,4/26/2027,282,ENTER DATE,,,,,,,,"46,221",,,,,
,,,,,,,Lint free cloth of 50,PAC,39,794.16,"30,972.24",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shoe covers non-skid of 100 pair,PAC,53,739,"39,167.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lab coat blue large disposable of 30 pices,PAC,88,8820,"776,160.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,lab coat white  large disposable of 30 pices,PAC,88,8820,"776,160.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,6/17/2026,EPSA-NCB-G-0122-2018-BID,4500010934,Haneva trading,Ethiopia,Haneva trading,Lint free cloth of 50,PAC,227,794.16,"180,274.32","269,693.32",ETB,MOH-HIV,Truck,6/17/2026,,6/17/2026,6/17/2026,Awash Insuranc,AIC/AGA/PFBD/0841096/26,4/26/2027,282,ENTER DATE,,,,,,,,"46,221",Yohannis,,,,
,,,,,,,Shoe covers non-skid of 100 pair,PAC,121,739,"89,419.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,6/17/2026,EPSA-NCB-G-0122-2018-BID,4500010933,Haneva trading,Ethiopia,Haneva trading,Lint free cloth of 50,PAC,880,794.16,"698,860.80","894,695.80",ETB,GF-HIV,Truck,6/25/2026,,6/17/2026,6/17/2026,Awash Insuranc,AIC/AGA/PFBD/0841096/26,4/26/2027,282,ENTER DATE,,,,,,,,"46,221",Yohannis,,,,
,,,,,,,Shoe covers non-skid of 100 pair,PAC,265,739,"195,835.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,6/17/2026,EPSA-ICB-G-0097-2018-BID,4500012069,Care pharma FZ LLC,Utd Arab Emir,life care,Serology alfa feto protine (AFP) Cassette of 40 test,BX,840,18.2,"15,288.00","15,288.00",USD,RDF,Sea,6/22/2026,,,,,,,"-46,221",ENTER DATE,,,,Selamawit,,,,"46,221",,,,,
,6/17/2026,ICB/PFSA6/RDF/FW/PLACEMENT/LR/2018,4500011202,Sysmex Europe SE,Norderstedt Germany ,Pyramid pharma PLC Ethiopia,SNCL Sysmex XN-550 - Cell Clean of 50ml,BT,233,51.5,"11,999.50","17,361.70",EUR,RDF,Air,6/22/2026,,7/14/2026,7/14/2026,CBE,MD2619134232,7/7/2027,354,ENTER DATE,,,,Dejene,,,,"46,221",,,,,
,,,,,,,SNCK Sysmex XN-550 - check Level 1 of 1*3ml,VI,60,29.79,"1,787.40",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SUCK Sysmex XN-550 - check Level 2 of 1*3ml,VI,60,29.79,"1,787.40",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SNCK Sysmex XN-550 - check Level 3 of 1*3ml,VI,60,29.79,"1,787.40",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SNCA Sysmex XN-550 - Calibrator of 3*3ml,PAC,10,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/17/2026,ICB/EPSA6/RDF/FW/PLACEMENT/LR/2018,4500011201,Sysmex Europe SE,Norderstedt Germany,Pyramid pharma PLC Ethiopia,SNCP Sysmex XN-550 - Cell Pack of 10L,JAR,"2,624",34.5,"90,528.00","398,125.70",USD,RDF,Sea,6/22/2026,7/6/2026,7/14/2026,7/14/2026,CBE,MD261900053,7/7/2027,354,8,,,,Dejene,,,,"46,221",,,,,
,,,,,,,SNSL Sysmex XN-550 - Sulfolyser of 3*500ml,PAC,360,79.03,"28,450.80",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SNLY Sysmex XN-550 Lyser cell WDF of 2L,JAR,770,132.97,"102,386.90",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SUFL Sysmex XN-550 - Fluoro cell WDF of 2*22ml,PAC,360,491,"176,760.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,6/18/2026,EPSA-ICB-G-0012-BID,4500011616,UNITED PHARMA (K) Limited,Kenya,Halicare Trading One Member PLC,Morphine Sulphate - 10mg/ml - Injection of 10,PAC,"22,614",4.25,"96,109.50","96,109.50",USD,RDF,Sea,6/22/2026,,,,,,,"-46,221",ENTER DATE,,,,,,,,"46,221",,,,,
,6/18/2026,EPSA-ICB-G-0068-2018-BID,4500010217,Mission pharma,Denmark,MT International PVT,Postpartum intra utrine device(PPIUCD) Insertion set,SET,"10,000",49.5,"495,000.00","1,115,000.00",USD,SDG-FH,Sea,6/19/2026,6/20/2026,,,,,,"-46,221",28,,,,Selamawit,,,,"46,221",,,,,
,,,,,,,IUCD Insertion set,SET,"10,000",62,"620,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,6/18/2026,EPSA-ICB-G-0061-2017-BID,4500011042,Ida Foundation,Netherlands,Life care Pharmaceutical Trading,Etonogestrel 68mg Capsule (Subdermal Implant) with full insertion accessory kit of 20 and others,PAC,"10,897",226.9,"2,472,529.30","2,472,529.30",USD,SDG-FH,Sea,,,,,,,,"-46,221",ENTER DATE,,,,,,,,"46,221",,,,,
,6/18/2026,EPSA-ICB-G-0061-2017-BID,4500011039,Ida Foundation,Netherlands,Life care Pharmaceutical Trading,Etonogestrel 68mg Capsule (Subdermal Implant) with full insertion accessory kit of 20 and others,PAC,"17,647",226.9,"4,004,104.30","4,004,104.30",USD,MOF-MH,Sea,,,,,,,,"-46,221",ENTER DATE,,,,,,,,"46,221",,,,,
,6/23/2026,EPSA-NCB-G-0122-2018-BID,4500012210,Wise Team PLC,Ethiopia,Wise Team PLC,Absorbent pad with plastic backing(blue diapers) 17x24 inches 250/cases/5/pack of pack/250,PAC,11,58697,"645,667.00","645,667.00",ETB,SDG-LAB,Truck,,,6/22/2026,6/24/2026,Hibret Bank,HB/111/PB/8489/26,5/30/2027,316,ENTER DATE,,,,,,,,"46,221",,,,,
,6/23/2026,EPSA-NCB-G-0122-2018-BID,4500012212,Wise Team PLC,Ethiopia,Wise Team PLC,Cryptogenic viral of 450 pcs,PAC,"1,039",2348,"2,439,572.00","14,120,275.00",ETB,GF-HIV,Truck,,,6/22/2026,6/24/2026,Hibret Bank,HB/111/PB/8489/26,5/30/2027,316,ENTER DATE,,,,,,,,"46,221",,,,,
,,,,,,,Absorbent pad with plastic backing(blue diapers) 17x24 inches 250/cases/5/pack of pack/250,PAC,199,58697,"11,680,703.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,6/23/2026,EPSA-NCB-G-0122-2018-BID,4500012214,Wise Team PLC,Ethiopia,Wise Team PLC,Cryptogenic viral of 450 pcs,PAC,812,2348,"1,906,576.00","11,415,490.00",ETB,MOH-HIV,Truck,,,6/22/2026,6/24/2026,Hibret Bank,HB/111/PB/8489/26,5/30/2027,316,ENTER DATE,,,,,,,,"46,221",,,,,
,,,,,,,Absorbent pad with plastic backing(blue diapers) 17x24 inches 250/cases/5/pack of pack/250,PAC,162,58697,"9,508,914.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,6/24/2026,EPSA-NCB-G-0021-2018-BID,4500011605,Humanwell Pharmaceuical Ethiopia PLC,Ethiopia,Humanwell Pharmaceuical Ethiopia PLC,Metoclorpramide 5mg/5ml syrup of 60ml,BT,"159,198",64,"10,188,672.00","16,316,492.00",ETB,RDF,Truck,,,6/22/2026,6/26/2026,Bunna Insurance S.C,G/ARK/1307/001812/2026,6/15/2027,332,ENTER DATE,,,,,,,,"46,221",Eyob,,,,
,,,,,,,Acyclovir 200mg capsule of 10x10,PAC,"18,292",335,"6,127,820.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,6/24/2026,EPSA-NCB-G-0026-2018-BID,4500011844,Humanwell Pharmaceuical Ethiopia PLC,Ethiopia,Humanwell Pharmaceuical Ethiopia PLC,Metformin 500mg tablet of 10x10,PAC,"24,919",158,"3,937,202.00","3,937,202.00",ETB,RDF,Truck,,,6/22/2026,6/26/2026,Bunna Insurance S.C,G/ARK/1307/001825/2026,6/18/2027,335,ENTER DATE,,,,,,,,"46,221",Eyob,,,,
,6/24/2026,EPSA-NCB-G-0025-2018-BID,4500011624,Humanwell Pharmaceuical Ethiopia PLC,Ethiopia,Humanwell Pharmaceuical Ethiopia PLC,ClarIithromycine 500mg tablet of 10x10,PAC,"11,876",2400,"28,502,400.00","28,502,400.00",ETB,RDF,Truck,,,6/22/2026,6/26/2026,Bunna Insurance S.C,G/ARK/1307/001826/2026,6/18/2027,335,ENTER DATE,,,,,,,,"46,221",Eyob,,,,
,6/25/2026,EPSA-NCB-G-0040-2017-BID,4500012067,Sansheng Pharmaceutical PLC,Ethiopia,Sansheng Pharmaceutical PLC,Sodium Valproate - 200mg -Tablet (enteric coated) of 10x10,PAC,"102,546",540,"55,374,840.00","55,374,840.00",ETB,RDF,Truck,,,6/23/2026,6/26/2026,Nib Insurance Company S.Co,P/021/59/02/2026/06/00035,6/17/2027,334,ENTER DATE,,,,,,,,"46,221",Eyob,,,,
,6/24/2026,EPSA-NCB-G-0025-2018-BID,4500011623,Glocare Pharma Manufacturing PLC,Ethiopia,Glocare Pharma Manufacturing PLC,ClarIithromycine 500mg tablet of 10x10,PAC,"19,794",2400,"47,505,600.00","47,505,600.00",ETB,RDF,Truck,6/24/2026,,6/23/2026,,Oromia insurnce S.C,P/11/1702/25-26/1/00080,6/22/2027,339,ENTER DATE,,,,,,,,"46,221",Eyob,,,,
,6/23/2026,EPSA-NCB-G-0119-2018,4500011290,Folliumm Trading PLC,Ethiopia,Folliumm Trading PLC,Chemical povidone iodine 10%  solution of 130ml,BT,"45,607",108,"4,925,556.00","4,925,556.00",ETB,SDG,Truck,,,6/23/2026,6/25/2026,"Lion Insurance Company S,C",P/103/7001/2026/00010,5/24/2027,310,ENTER DATE,,,,,,,,"46,221",,,,,
,6/24/2026,EPSA-NCB-G-0119-2019,4500011967,Folliumm Trading PLC,Ethiopia,Folliumm Trading PLC,Chemical methanol absolute scetone free 99.90% solution of 1L,BT,"6,317",1104.95,"6,979,969.15","6,979,969.15",ETB,RDF,Truck,6/25/2026,,6/23/2026,6/25/2026,"Lion Insurance Company S,C",P/103/7001/2026/00010,5/24/2027,310,ENTER DATE,,,,,,,,"46,221",Yohannis,,,,
,6/25/2026,EPSA-NCB-G-0119-2020,4500012131,Folliumm Trading PLC,Ethiopia,Folliumm Trading PLC,Chemical povidone iodine 10%  solution of 130ml,BT,"44,419",108,"4,797,252.00","4,797,252.00",ETB,RDF,Truck,6/25/2026,,6/23/2026,6/25/2026,"Lion Insurance Company S,C",P/103/7001/2026/00010,5/24/2027,310,ENTER DATE,,,,,,,,"46,221",Yohannis,,,,
